cities,longitude,latitude
Abu,72°42′30″E,24°35′33″N
Ahmadabad,72°35′E,23°02′N
Bally,88°20′E,22°39′N
Banda,80°20′E,25°29′N
Barmer,71°23′E,25°45′N
Basti,83°00′E,27°15′N
Betul,77°54′07″E,21°54′18″N
Bhadravati,75°42′07″E,13°50′24″N
Bhojpur,77°35′43″E,23°6′54″N
Bilaspur,82°09′E,22°05′N
Bishnupur,87°19′01″E,23°04′30″N
Bokaro,86°09′E,23°40′N
Brahmapur,84°47′39″E,19°18′54″N
Chamba,76°7′48″E,32°34′12″N
Chapra,84°43′39″E,25°47′05″N
Churu,74°57′E,28°18′N
Daulatabad,75°12′47″E,19°56′34″N
Deoria,83°46′46″E,26°30′06″N
Doda,75°32′52″E,33°08′45″N
Dr. Ambedkar Nagar (Mhow),75°46′E,22°33′N
Fatehpur,80°48′E,25°56′N
Gonda,81°56′E,27°08′N
Hamirpur,76°31′E,31°41′N
Hugli,88°23′E,22°54′N
Jamalpur,86°30′E,25°18′N
Jaunpur,82°41′E,25°44′N
Kota,76°10′0″E,25°0′0″N
Krishnanagar,88°30′E,23°24′N
Lakhimpur,80°46′E,27°57′N
Mahe,75°32′12″E,11°42′4″N
Malda,88°08′36″E,25°00′43″N
Merta,74°02′00″E,26°39′00″N
Mirzapur-Vindhyachal,82°30′E,25°10′N
Nagarjunakoṇḍa,79°14′34.26″E,16°31′18.82″N
Narsinghgarh,77°06′E,23°42′N
Nizamabad,78°05′38″E,18°40′19″N
Nowgong,79°26′17″E,25°03′27″N
Pali,73°20′E,25°46′N
Partapgarh,81°56′42″E,25°53′49″N
Patan,72°07′30″E,23°51′00″N
Puducherry,79°49′E,11°55′N
Pusa,85°46′48″E,25°51′47″N
Rajgarh,76°53′E,24°02′N
Rampur,79°00′E,28°48′N
Rewa,81°18′E,24°32′N
Sagar,78°43′E,23°50′N
Sarangpur,76°28′E,23°34′N
Satara,74°00′22″E,17°41′17″N
Shahpura,75°57′35″E,27°23′23″N
Siuri,87°31′37″E,23°54′36″N
Siwan,84°22′E,26°13′N
Sultanpur,82°04′20″E,26°15′30″N
Udayagiri,79°19′00″E,14°52′00″N
